year,doi,award
2010,10.1145/1753326.1753330,Honorable Mention
2010,10.1145/1753326.1753333,Best Paper
2010,10.1145/1753326.1753334,Honorable Mention
2010,10.1145/1753326.1753336,Honorable Mention
2010,10.1145/1753326.1753342,Honorable Mention
2010,10.1145/1753326.1753343,Honorable Mention
2010,10.1145/1753326.1753345,Honorable Mention
2010,10.1145/1753326.1753357,Honorable Mention
2010,10.1145/1753326.1753365,Best Paper
2010,10.1145/1753326.1753370,Best Paper
2010,10.1145/1753326.1753378,Honorable Mention
2010,10.1145/1753326.1753380,Honorable Mention
2010,10.1145/1753326.1753384,Honorable Mention
2010,10.1145/1753326.1753393,Honorable Mention
2010,10.1145/1753326.1753394,Best Paper
2010,10.1145/1753326.1753397,Honorable Mention
2010,10.1145/1753326.1753402,Honorable Mention
2010,10.1145/1753326.1753424,Honorable Mention
2010,10.1145/1753326.1753434,Best Paper
2010,10.1145/1753326.1753435,Honorable Mention
2010,10.1145/1753326.1753441,Honorable Mention
2010,10.1145/1753326.1753473,Honorable Mention
2010,10.1145/1753326.1753477,Honorable Mention
2010,10.1145/1753326.1753478,Honorable Mention
2010,10.1145/1753326.1753484,Honorable Mention
2010,10.1145/1753326.1753485,Honorable Mention
2010,10.1145/1753326.1753494,Honorable Mention
2010,10.1145/1753326.1753500,Best Paper
2010,10.1145/1753326.1753521,Best Paper
2010,10.1145/1753326.1753530,Best Paper
2010,10.1145/1753326.1753534,Honorable Mention
2010,10.1145/1753326.1753551,Honorable Mention
2010,10.1145/1753326.1753552,Honorable Mention
2010,10.1145/1753326.1753554,Best Paper
2010,10.1145/1753326.1753556,Honorable Mention
2010,10.1145/1753326.1753560,Honorable Mention
2010,10.1145/1753326.1753567,Honorable Mention
2010,10.1145/1753326.1753568,Honorable Mention
2010,10.1145/1753326.1753574,Honorable Mention
2010,10.1145/1753326.1753576,Honorable Mention
2010,10.1145/1753326.1753583,Honorable Mention
2010,10.1145/1753326.1753589,Honorable Mention
2010,10.1145/1753326.1753597,Honorable Mention
2010,10.1145/1753326.1753600,Honorable Mention
2010,10.1145/1753326.1753601,Honorable Mention
2010,10.1145/1753326.1753602,Honorable Mention
2010,10.1145/1753326.1753610,Best Paper
2010,10.1145/1753326.1753613,Best Paper
2010,10.1145/1753326.1753615,Honorable Mention
2010,10.1145/1753326.1753620,Honorable Mention
2010,10.1145/1753326.1753625,Best Paper
2010,10.1145/1753326.1753629,Best Paper
2010,10.1145/1753326.1753640,Honorable Mention
2010,10.1145/1753326.1753641,Honorable Mention
2010,10.1145/1753326.1753647,Honorable Mention
2010,10.1145/1753326.1753650,Honorable Mention
