year,doi,published,page_range,page_count,reference_count
1982,10.1145/800049.801744,1982-03-15,2-7,6,7
1982,10.1145/800049.801745,1982-03-15,8-11,4,9
1982,10.1145/800049.801746,1982-03-15,12-16,5,6
1982,10.1145/800049.801747,1982-03-15,17-19,3,14
1982,10.1145/800049.801748,1982-03-15,20-23,4,14
1982,10.1145/800049.801749,1982-03-15,26-30,5,5
1982,10.1145/800049.801750,1982-03-15,31-35,5,17
1982,10.1145/800049.801751,1982-03-15,36-40,5,8
1982,10.1145/800049.801752,1982-03-15,41-44,4,0
1982,10.1145/800049.801753,1982-03-15,45-50,6,9
1982,10.1145/800049.801754,1982-03-15,52-57,6,24
1982,10.1145/800049.801755,1982-03-15,58-62,5,18
1982,10.1145/800049.801756,1982-03-15,63-68,6,11
1982,10.1145/800049.801757,1982-03-15,70-73,4,0
1982,10.1145/800049.801758,1982-03-15,74-77,4,2
1982,10.1145/800049.801759,1982-03-15,78-79,2,0
1982,10.1145/800049.801760,1982-03-15,82-84,3,6
1982,10.1145/800049.801761,1982-03-15,85-88,4,13
1982,10.1145/800049.801762,1982-03-15,89-100,12,28
1982,10.1145/800049.801763,1982-03-15,102-105,4,10
1982,10.1145/800049.801764,1982-03-15,106-110,5,10
1982,10.1145/800049.801765,1982-03-15,111-116,6,11
1982,10.1145/800049.801766,1982-03-15,118-120,3,8
1982,10.1145/800049.801767,1982-03-15,121-124,4,9
1982,10.1145/800049.801768,1982-03-15,125-129,5,0
1982,10.1145/800049.801769,1982-03-15,130-134,5,29
1982,10.1145/800049.801770,1982-03-15,136-141,6,10
1982,10.1145/800049.801771,1982-03-15,142-147,6,22
1982,10.1145/800049.801772,1982-03-15,148-151,4,3
1982,10.1145/800049.801773,1982-03-15,152-156,5,17
1982,10.1145/800049.801774,1982-03-15,158-162,5,3
1982,10.1145/800049.801775,1982-03-15,163-168,6,17
1982,10.1145/800049.801776,1982-03-15,169-173,5,16
1982,10.1145/800049.801777,1982-03-15,174-179,6,6
1982,10.1145/800049.801778,1982-03-15,182-189,8,6
1982,10.1145/800049.801779,1982-03-15,190-196,7,8
1982,10.1145/800049.801780,1982-03-15,197-201,5,7
1982,10.1145/800049.801781,1982-03-15,202-209,8,40
1982,10.1145/800049.801782,1982-03-15,212-218,7,41
1982,10.1145/800049.801783,1982-03-15,219-222,4,10
1982,10.1145/800049.801784,1982-03-15,223-228,6,21
