acmid,orcid
81328489038,0000-0002-8554-2137
81452616426,0000-0002-0170-7097
81100589296,0000-0002-7243-9317
81100297556,0000-0001-9413-6774
81332517372,0000-0001-7860-163X
81100075918,0000-0003-1996-3600
81100013136,0000-0002-4769-0219
81328488846,0000-0002-0948-3251
81405592014,0000-0003-0603-3877
81100489674,0000-0003-4251-1127
81100104022,0000-0003-1275-7652
81100363076,0000-0003-4918-8908
81100072975,0000-0003-1252-7814
81100087172,0000-0002-4854-626X
81100359199,0000-0001-9720-3899
81408591988,0000-0003-0752-2090
81100103519,0000-0003-1520-8894
81100519448,0000-0002-4733-4927
81502661254,0000-0002-2834-7757
81327488395,0000-0001-9279-9021
81100017207,0000-0001-9727-1664
81100443423,0000-0003-1509-3257
81100173923,0000-0001-7612-0234
81100503904,0000-0002-3379-7680
81100650762,0000-0001-9235-5324
81100251687,0000-0002-3408-587X
81100280834,0000-0003-0881-401X
81100513321,0000-0002-3121-3354
81100008564,0000-0002-3629-2514
81392599672,0000-0001-6723-1936
81100644686,0000-0002-2905-9810
81100275704,0000-0003-4470-9495
81100539968,0000-0002-4951-4008
81350567780,0000-0001-5751-9354
81318498872,0000-0003-4343-2332
81100360895,0000-0002-2676-9788
81100499261,0000-0003-4172-6759
81100297951,0000-0002-8989-6434
81100520446,0000-0002-5619-177X
81100017862,0000-0002-0982-3404
81100608981,0000-0003-2969-4627
81100047223,0000-0001-8742-1198
81100367387,0000-0001-5834-8577
81100013375,0000-0002-9710-6607
81100090466,0000-0002-5022-9343
81406594629,0000-0001-7186-1383
81408598366,0000-0002-9856-9654
81548016789,0000-0001-6056-7285
81100295906,0000-0003-1941-939X
81328490974,0000-0003-3873-6366
81100506242,0000-0002-9053-6057
81341491415,0000-0002-0002-4825
81100519232,0000-0001-5661-4659
81100607754,0000-0003-1074-4268
81100204766,0000-0002-6880-8546
81100477897,0000-0002-0494-5373
81100246470,0000-0003-4052-0214
81100137268,0000-0002-5005-6868
81100273942,0000-0002-7047-627X
81328488487,0000-0002-1957-4130
81100517358,0000-0001-6311-3967
81100322683,0000-0002-5145-6476
81100362804,0000-0002-7139-871X
81409593205,0000-0002-4217-627X
81343495056,0000-0002-9460-2568
81100495977,0000-0002-2915-018X
81452607037,0000-0003-1436-9223
81100260236,0000-0001-6472-3476
81100288358,0000-0001-8108-1954
81100307069,0000-0001-7764-3459
81100606762,0000-0003-2008-7070
81100170743,0000-0002-5619-4452
81100333050,0000-0002-2498-7837
81100650586,0000-0001-9489-4188
81100214718,0000-0002-7110-5024
81100543332,0000-0003-4699-5026
81100163569,0000-0002-9295-8480
81371591530,0000-0002-7283-7219
81100331534,0000-0003-0904-4862
81100398596,0000-0003-1507-5200
81100459425,0000-0001-5337-328X
81100168208,0000-0001-8934-7761
81343495796,0000-0002-9380-8759
99659165855,0000-0002-7142-2548
81361598222,0000-0001-7075-5052
81100277483,0000-0002-5266-8366
81100301845,0000-0002-5510-6799
81350580013,0000-0001-7808-5524
81100490463,0000-0003-3727-9204
81100536739,0000-0002-1990-1955
81548020677,0000-0001-7990-4229
81100088903,0000-0002-1842-8342
81502746040,0000-0002-3115-4024
81100640680,0000-0003-4293-4082
81100288406,0000-0003-1874-0958
81548019697,0000-0001-6093-6116
81100047885,0000-0002-3294-3869
81311484266,0000-0002-3050-9284
81100111542,0000-0003-3268-477X
81100005698,0000-0001-7440-3900
81100459517,0000-0002-7716-9280
81311482767,0000-0001-9824-3323
81331488921,0000-0003-1306-249X
81100474188,0000-0001-6391-0835
81100086173,0000-0003-3675-5491
81100220294,0000-0002-9320-4920
81100298867,0000-0003-2634-6395
81100410420,0000-0002-9128-2255
81100166914,0000-0003-2776-0643
81331502006,0000-0002-5274-6889
81100017919,0000-0003-1167-0977
81502723616,0000-0003-4488-5683
81100592620,0000-0003-0966-8739
81339532748,0000-0003-0774-5964
81100064088,0000-0003-4750-1569
81100647319,0000-0003-2273-6927
81100182346,0000-0002-2059-3558
81100232130,0000-0002-7374-7629
81320490166,0000-0001-9314-7762
81318498266,0000-0002-0693-0829
81328488881,0000-0001-7657-7373
81100326317,0000-0003-3889-2529
81319489300,0000-0003-0632-3700
81100106876,0000-0002-6598-419X
81100585927,0000-0002-6436-3877
81350602833,0000-0001-8885-8367
81315489747,0000-0003-2760-2370
81100054467,0000-0001-7620-0541
81100472223,0000-0003-2125-0124
81539424156,0000-0001-8122-6252
81502725085,0000-0001-8914-071X
81100258547,0000-0002-7344-8741
81100588072,0000-0003-3890-1990
81328487724,0000-0003-0804-6110
81100490064,0000-0002-6300-4389
81502723138,0000-0002-1854-5899
81758794857,0000-0002-1354-9866
81100393102,0000-0002-0142-3529
81100249207,0000-0002-9076-2046
81350583567,0000-0003-2671-6149
81100516901,0000-0002-1581-6657
81100041277,0000-0002-1637-458X
81414600496,0000-0002-2823-420X
81436596733,0000-0002-3062-731X
81324489772,0000-0003-3223-105X
81100320511,0000-0002-7942-0766
81100462318,0000-0002-8369-3847
81100158260,0000-0003-4192-0420
81309497296,0000-0001-7772-0530
81350582655,0000-0002-2824-9292
81440599192,0000-0001-8511-2834
81309510031,0000-0003-2661-2761
81350573130,0000-0001-5312-3619
81350585889,0000-0001-8921-0044
81309486006,0000-0002-4336-9954
81340488769,0000-0002-1508-2091
81367592039,0000-0001-8338-4852
81484657149,0000-0003-4932-7314
99659376950,0000-0002-3255-0109
81350572817,0000-0002-6793-3062
81100002957,0000-0002-6240-0291
81311485671,0000-0001-5338-4421
81100015408,0000-0001-5805-5301
81313483984,0000-0003-1759-7512
81100509454,0000-0002-2176-876X
81100230335,0000-0002-4226-7059
81350570757,0000-0001-8788-3405
81350569215,0000-0002-2308-2825
81100168597,0000-0003-1905-815X
81100273236,0000-0002-7107-7035
81460645188,0000-0001-5410-652X
81331492504,0000-0001-8291-3353
81100659507,0000-0002-1214-1551
81100398105,0000-0003-3238-9404
81416594796,0000-0002-3793-6801
81100239955,0000-0002-4213-2226
81416592901,0000-0001-7971-3107
81338487940,0000-0002-0513-7474
81100283877,0000-0003-2073-715X
81430668491,0000-0002-3660-707X
81332524398,0000-0001-9448-914X
81100246383,0000-0001-5375-6598
81452610719,0000-0001-9798-1762
81309484665,0000-0003-0643-6262
81384620999,0000-0003-1151-2389
81339522411,0000-0003-4228-2336
81100108039,0000-0003-0169-7682
81309489274,0000-0001-5005-6123
81100313702,0000-0002-6236-2969
81100058677,0000-0002-4899-226X
81414614562,0000-0003-3082-4564
81100390376,0000-0001-8114-1160
81416602445,0000-0002-0068-0793
81416601689,0000-0002-0543-2414
81416608644,0000-0001-9936-0791
81309485662,0000-0002-9716-7709
81416606961,0000-0002-1155-8507
81100303073,0000-0002-2192-1728
81309499961,0000-0003-4230-3440
81316490036,0000-0003-3085-3277
81350583472,0000-0002-4347-5028
81405591691,0000-0001-8020-9434
81416603161,0000-0002-2878-8544
81338487593,0000-0002-2072-0625
81333488106,0000-0002-5103-0379
81100175529,0000-0002-9617-7008
81100280485,0000-0003-2950-8310
81100283513,0000-0003-1186-4130
81325488036,0000-0002-5585-7971
81460652875,0000-0002-8384-4764
81460654929,0000-0002-6914-610X
81100298117,0000-0003-4035-0198
81100413624,0000-0002-7734-822X
81100057558,0000-0001-7596-9244
81377593653,0000-0001-5592-5949
81443597100,0000-0001-9655-9519
81100609985,0000-0002-9948-6375
81453653111,0000-0003-2218-2899
81460654085,0000-0002-7500-7974
81416594009,0000-0002-0588-7013
81335495442,0000-0001-8460-8838
81100295667,0000-0003-2841-7580
81385595946,0000-0002-5261-0148
81452616827,0000-0003-2233-2121
81321494894,0000-0003-3239-8749
81100288295,0000-0003-2399-9374
81350580946,0000-0001-8389-2064
81416604516,0000-0002-0472-6138
81371592031,0000-0001-9228-006X
81460656296,0000-0003-4004-5361
81442618424,0000-0003-2078-6699
81448600301,0000-0001-9472-3805
81443596216,0000-0001-7150-5784
81460647791,0000-0002-9244-6581
81100398416,0000-0003-4293-1623
81436594444,0000-0001-8354-2195
81416600696,0000-0001-6598-1733
81100388468,0000-0003-2206-1720
99659262040,0000-0001-8110-4239
81456626968,0000-0002-5779-8864
81100266654,0000-0002-9007-9888
81324491951,0000-0002-5473-2448
81456616335,0000-0001-6587-1278
81453662914,0000-0002-5823-1499
81350574568,0000-0001-8666-1800
81361599570,0000-0003-3592-2163
81100076780,0000-0003-0875-0204
81414620309,0000-0002-5201-5875
81414592368,0000-0002-2696-6546
81331500452,0000-0002-9010-1491
81392605076,0000-0003-4290-8829
81484651538,0000-0002-9387-6284
81442615820,0000-0002-5076-6560
81329489903,0000-0002-0276-9417
81324489053,0000-0001-8648-340X
81508685058,0000-0002-8823-4607
81484654594,0000-0002-9847-7784
81484658582,0000-0003-3761-296X
81384616016,0000-0001-6063-3676
81484657903,0000-0003-4831-2516
81319501668,0000-0002-1157-6369
81100629329,0000-0003-2300-0815
81484651506,0000-0001-6348-4127
81319494009,0000-0001-9618-0349
81435604849,0000-0002-3956-9793
81313483772,0000-0001-9879-7414
81100161587,0000-0001-8590-3898
81460646715,0000-0002-7014-5585
81484657387,0000-0001-6826-3550
81484640607,0000-0003-3743-2387
81318497946,0000-0002-1804-631X
81328488179,0000-0003-4752-5376
87259030457,0000-0002-8659-2283
81467645911,0000-0002-8766-3557
81467653138,0000-0003-2664-1634
81467670465,0000-0003-2938-7272
81100305085,0000-0003-4713-5327
81384613099,0000-0003-3493-8745
81327491464,0000-0002-7670-9177
81408594028,0000-0003-3087-3251
81100044475,0000-0002-5447-1305
81421599247,0000-0001-9323-9069
81470651683,0000-0002-7712-8622
81361609796,0000-0001-6502-7114
81314482518,0000-0002-0634-3931
81100236830,0000-0001-8528-8928
81416608724,0000-0001-5038-8320
81384596881,0000-0002-1960-1012
81430677521,0000-0002-9100-3826
81466647758,0000-0002-6701-4066
81350567841,0000-0003-4889-9484
81484646857,0000-0001-7271-9100
81310500023,0000-0002-9456-1495
81413601851,0000-0002-5011-1847
81350567335,0000-0003-2231-2964
81100616924,0000-0002-7965-6269
81320495613,0000-0002-9697-0807
81100240198,0000-0002-3457-4227
81416597993,0000-0002-0476-3422
81436600404,0000-0002-7640-0532
81100501434,0000-0002-2915-974X
81490690455,0000-0002-2790-3264
81461654671,0000-0001-7533-8709
81498641142,0000-0002-6223-1029
81502644262,0000-0001-9234-9960
81472655523,0000-0003-2714-4293
81413599235,0000-0003-2257-9394
81100166410,0000-0002-3435-2392
81100589961,0000-0002-3411-7376
81384605317,0000-0002-1609-9776
81502641340,0000-0003-1530-4464
81311484684,0000-0001-8041-2520
81502729419,0000-0001-7076-6229
81548039279,0000-0001-6435-3583
81484657431,0000-0002-8449-6124
81456607280,0000-0003-3924-1189
81502801125,0000-0002-9831-3229
81548921556,0000-0001-7743-7807
81100417512,0000-0002-6317-1582
81488672423,0000-0001-6695-4809
81482659504,0000-0002-9639-5531
81502812584,0000-0002-3127-1917
