year,doi,acmid,name,affiliation,note
1982,10.1145/800049.801744,81100469779,P. Barnard,"MRC Applied Psychology Unit, Cambridge, England",
1982,10.1145/800049.801744,81100001026,N. Hammond,"MRC Applied Psychology Unit, Cambridge, England",
1982,10.1145/800049.801744,81100609167,A. MacLean,"MRC Applied Psychology Unit, Cambridge, England",
1982,10.1145/800049.801744,81332516822,J. Morton,"MRC Applied Psychology Unit, Cambridge, England",
1982,10.1145/800049.801745,81100576470,John B. Black,"Department of Psychology, Yale University, New Haven, CT, USA",
1982,10.1145/800049.801745,81407594532,Thomas P. Moran,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",
1982,10.1145/800049.801746,81332524216,Jarrett Rosenberg,"University of California, Berkeley, USA & Xerox Palo Alto Research Center, Palo Alto, USA",
1982,10.1145/800049.801747,81100519367,Dominique L. Scapin,"INRIA, La Chesnay, France",
1982,10.1145/800049.801748,81547030056,Kathleen Hemenway,"Stanford University, USA & Xerox Palo Alto, USA",
1982,10.1145/800049.801749,99659551044,Aaron Marcus,"University of California, Berkeley, USA",
1982,10.1145/800049.801750,81100551421,Steven L. Sauter,"University of Wisconsin, USA",
1982,10.1145/800049.801750,81100605567,Mark S. Gottlieb,"University of Wisconsin, USA",
1982,10.1145/800049.801750,81332507037,Karen C. Jones,"University of Wisconsin, USA",
1982,10.1145/800049.801751,81100570324,Ricky E. Savage,"IBM Systems, Rochester, MN, USA",
1982,10.1145/800049.801751,81100179472,James K. Habinek,"IBM Systems, Rochester, MN, USA",
1982,10.1145/800049.801751,81100422715,Thomas W. Barnhart,"IBM Systems, Rochester, MN, USA",
1982,10.1145/800049.801752,81100564710,Kevin F. Bury,"IBM, GPD Human Factors Center, San Jose, CA, USA",
1982,10.1145/800049.801752,81100205555,James M. Boyle,"IBM, GPD Human Factors Center, San Jose, CA, USA",
1982,10.1145/800049.801752,81547287656,R. James Evey,"IBM, GPD Human Factors Center, San Jose, CA, USA",
1982,10.1145/800049.801752,81100230875,Alan S. Neal,"IBM, GPD Human Factors Center, San Jose, CA, USA",
1982,10.1145/800049.801753,81100642297,Ralph E. Geiselman,"Perceptronics Inc., Woodland Hills, CA, USA",
1982,10.1145/800049.801753,81100138572,Michael G. Samet,"Perceptronics Inc., Woodland Hills, CA, USA",
