year,doi,acmid,name,newName
1988,10.1145/57167.57212,81100001026,N. Hammond,Nick V. Hammond
1982,10.1145/800049.801744,81100001026,N. Hammond,Nick V. Hammond
1983,10.1145/800045.801577,81100001026,N. Hammond,Nick V. Hammond
1989,10.1145/67449.67457,81100018231,D. McCracken,Donald Lee McCracken
1988,10.1145/57167.57186,81100018231,D. McCracken,Donald Lee McCracken
1983,10.1145/800045.801627,81100019115,J. Sokolov,Jeffrey Sokolov
1988,10.1145/57167.57192,81100019357,J. Conner,Joyce Conner
1988,10.1145/57167.57214,81100019458,S. Deerwester,Scott C. Deerwester
1983,10.1145/800045.801577,81100019863,A. Jørgensen,Anker Helms Jørgensen
1989,10.1145/67449.67499,81100022438,O. Gutierrez,Óscar Gutiérrez
1989,10.1145/67449.67489,81100031531,J. Grudin,Jonathan Grudin
1986,10.1145/22627.22384,81100031531,J. Grudin,Jonathan Grudin
1999,10.1145/302979.303150,81100045902,H. Yan,Hao Yan
1986,10.1145/22627.22381,81100062584,M. Norman,Michael G. Norman
1988,10.1145/57167.57182,81100068691,M. Weiser,Mark Weiser
1988,10.1145/57167.57169,81100068691,M. Weiser,Mark Weiser
1989,10.1145/67449.67491,81100075918,K. Crowston,Kevin Crowston
1986,10.1145/22627.22378,81100090422,M. Good,Michael D. Good
1988,10.1145/57167.57197,81100095017,J. McKendree,Jean McKendree
1986,10.1145/22627.22345,81100095017,J. McKendree,Jean McKendree
1986,10.1145/22627.22372,81100095387,V. Ogozalek,Virginia Z. Ogozalek
1983,10.1145/800045.801627,81100102253,E. Conway,Eileen Conway
1986,10.1145/22627.22389,81100109093,L. Quinn,Lisa Quinn
1989,10.1145/67449.67502,81100117098,s. Boies,Stephen J. Boies
1989,10.1145/67449.67457,81100120280,R. Akscyn,Robert Akscyn
1988,10.1145/57167.57186,81100120280,R. Akscyn,Robert Akscyn
1983,10.1145/800045.801625,81100120383,U. Bräuninger,Ulrich Bräuninger
1989,10.1145/67449.67506,81100129699,G. Meredith,Greg Meredith
1988,10.1145/57167.57188,81100130164,C. Egido,Carmen Egido
1986,10.1145/22627.22381,81100138418,B. Sharratt,Brian Sharratt
1988,10.1145/57167.57182,81100146468,B. Shneiderman,Ben Shneiderman
1986,10.1145/22627.22394,81100146468,B. Shneiderman,Ben Shneiderman
1988,10.1145/57167.57171,81100146468,B. Shneiderman,Ben Shneiderman
1989,10.1145/67449.67491,81100154204,D. Rosenblitt,David Ari Rosenblitt
1990,10.1145/97243.97270,81100156998,S. Gaudet,Severin Gaudet
1986,10.1145/22627.22362,81100164129,A. Borning,Alan Borning
1989,10.1145/67449.67466,81100171476,M. Spenke,Michael Spenke
1989,10.1145/67449.67520,81100176654,I. Iwai,Isamu Iwai
1986,10.1145/22627.22367,81100178543,G. Olson,Gary M. Olson
1989,10.1145/67449.67451,81100182722,V. Schoenberg,Victor Schoenberg
1988,10.1145/57167.57196,81100197069,S. Greenberg,Saul Greenberg
1989,10.1145/67449.67482,81100207485,C. Baxter,Curtis Baxter
1999,10.1145/302979.303150,81100210403,L. Campbell,Lee Winston Campbell
1988,10.1145/57167.57191,81100214959,R. Kass,Robert John Kass
1986,10.1145/22627.22367,81100216584,L. Gugerty,Leo J. Gugerty
1986,10.1145/22627.22350,81100219966,L. Boyes,Larry Boyes
1989,10.1145/67449.67466,81100228113,C. Beilken,Christian Beilken
1989,10.1145/67449.67498,81100229533,P. Luff,Paul Keith Luff
1989,10.1145/67449.67467,81100256018,M. Mitrani,Marco Mitrani
1988,10.1145/57167.57173,81100260377,P. Friedmann,Patricia Friedmann
1989,10.1145/67449.67516,81100262199,R. Halstead-Nussloch,Richard Halstead-Nussloch
1999,10.1145/302979.303150,81100267336,H. Vilhjálmsson,Hannes Högni Vilhjálmsson
1989,10.1145/67449.67476,81100278882,G. Singh,Gurminder Singh
1983,10.1145/800045.801589,81100279363,W. Mark,William S. Mark
1992,10.1145/142750.142800,81100282336,B. Sandblad,Bengt L. Sandblad
1989,10.1145/67449.67502,81100291403,W. Bennett,William E. Bennett
1983,10.1145/800045.801624,81100296530,A. Rollins,Ann M. Rollins
1988,10.1145/57167.57178,81100302796,J. Foley,James D. Foley
1983,10.1145/800045.801589,81100309548,N. Sondheimer,Norman Keith Sondheimer
1983,10.1145/800045.801589,81100316629,T. Kaczmarek,Thomas S. Kaczmarek
1983,10.1145/800045.801627,81100316810,C. O'Malley,Claire O'Malley
1988,10.1145/57167.57173,81100339988,J. Gevins,Jody Gevins
1988,10.1145/57167.57182,81100348565,D. Hopkins,Don Hopkins
1986,10.1145/22627.22388,81100349845,C. Lewis,Clayton H. Lewis
1986,10.1145/22627.22352,81100350795,E. Muncher,Elizabeth Muncher
1986,10.1145/22627.22378,81100355578,P. George,Peter George
1988,10.1145/57167.57195,81100358565,Y. Yang,Yiya Yang
1999,10.1145/302979.303150,81100360895,T. Bickmore,Timothy Bickmore
1989,10.1145/67449.67511,81100375394,P. Baudelaire,Patrick Baudelaire
1989,10.1145/67449.67518,81100380715,H. Nieper-Lemke,Helga Nieper-Lemke
1982,10.1145/800049.801777,81100383722,U. Rembold,Ulrich Rembold
1986,10.1145/22627.22350,81100387191,S. Weisgerber,Scott Weisgerber
1989,10.1145/67449.67511,81100393077,M. Gangnet,Michel Gangnet
1989,10.1145/67449.67472,81100393604,A. Newell,Allen Newell
1990,10.1145/97243.97318,81100419396,J. Herczeg,Jürgen Herczeg
1988,10.1145/57167.57201,81100423479,N. Walker,Neff Walker
1989,10.1145/67449.67514,81100429025,G. Engelbeck,George E. Engelbeck
1986,10.1145/22627.22352,81100429025,G. Engelbeck,George E. Engelbeck
1999,10.1145/302979.303150,81100435029,J. Cassell,Justine Cassell
1988,10.1145/57167.57170,81100440831,B. Bischoff,Bradford Bischoff
1986,10.1145/22627.22348,81100448368,R. Baecker,Ronald M. Baecker
1988,10.1145/57167.57176,81100450280,M. Frese,Michael Frese
1988,10.1145/57167.57197,81100458591,J. Zaback,Jay Zaback
1988,10.1145/57167.57212,81100464175,L. Allinson,Lesley Allinson
1983,10.1145/800045.801627,81100465973,L. Bannon,Liam J. Bannon
1983,10.1145/800045.801577,81100466738,J. Long,John Brian Long
